movie,reviews
Oppenheimer,"A masterfully constructed character study from a great director operating on a whole new level. A film that you don’t merely watch, but must reckon with."
Oppenheimer,"Cillian Murphy turns in a haunting career-best performance as theoretical physicist J. Robert Oppenheimer, and Robert Downey Jr. astounds in a way we haven’t seen in quite some time."
Oppenheimer,"Christopher Nolan’s Oppenheimer is a kinetic thing of dark, imposing beauty that quakes with the disquieting tremors of a forever rupture in the course of human history."
Oppenheimer,"Like its protagonist, Oppenheimer is a work in constant conflict with itself, with most of its problems rooted in Nolan’s screenplay."
Oppenheimer,Oppenheimer is a movie that makes you say “Oh my God” over and over again -- in awe and in terror.
Oppenheimer,Oppenheimer is a tour de force. An unmatched director at the top of his game throwing off the shackles of science fiction and superheroes to tell the raw story of one man’s transformation into something both more and less than a human being.
Oppenheimer,"Cillian Murphy, with a thousand-yard beam, the half-smile of an intellectual rake, and a way of keeping everything close to the vest, gives a phenomenal performance as Oppenheimer, making him fascinating and multi-layered."
Oppenheimer,"Its scope comes from Murphy’s haunted performance, and the way that the movie (with help from Ludwig Göransson’s panic attack of a score) submerges you in the mindset of its protagonist as though it can create a psychic connection to the past."
Oppenheimer,"Oppenheimer is a mainstream offering of uncommon resonance, sending the viewer out of the theater head-spun and itchy-eyed, ears ringing from all its sophisticated, voluble explosion."
Oppenheimer,Intelligent non-IP-driven filmmaking on a scale we simply don’t see in movie theaters anymore.
Oppenheimer,"This is the big bang, and no one could have made it bigger or more overwhelming than Nolan."
Oppenheimer,"This is a big, ballsy, serious-minded cinematic event of a type now virtually extinct from the studios. It fully embraces the contradictions of an intellectual giant who was also a deeply flawed man."
Oppenheimer,The most breathtaking film of the year.
Oppenheimer,"“Oppenheimer” offers an indelible portrait of the age when people began wielding power they couldn’t necessarily control, and few movies have so disturbingly crystallized the horror of opening Pandora’s box."
Oppenheimer,"A divided epic of awe and horror, fission and fusion. It’s simultaneously a unified portrait of a conflicted man and a singular achievement for Hollywood’s reigning blockbuster auteur."
Another Round,The last shot of this film [is] as indelible as any you'll find...
Another Round,"The film is well directed. It is well acted. Mikkelsen is always as compelling as his cheekbones. But it's so muddled in its thinking -- alcohol is good; no, it's bad... but good -- that it ends up with nothing of value to say."
Another Round,"It's about a lack of you-ness, forgetting who you are. There's emotional charge to that ending..."
Another Round,"Alcohol is a dangerous pal, the film seems to be saying, but that does not mean it can't still be a pal. For some. Under certain conditions."
Another Round,"A heady, vibrant, funny film about Danish drinking culture and middle-aged angst. But it also speaks to the great personal pain that lies hidden within its frames."
Another Round,"Another Round is made irresistible by Mikkelsen: such a noble face, such a wonderful presence even when most withdrawn, battered and saddened."
Another Round,"If it says nothing new about the dangers of over-indulgence, Another Round is funny and rich, a fresh, perfectly played, clear-eyed take on middle age ennui. Intoxicating."
Another Round,"Another Round has the lurching rhythm of a drinking session. All is great fun, or at least loudly harmless, right up the point when it isn't."
Another Round,So much more than a gaudy comedy - a warning to hold onto what you love in life with all your might.
Another Round,"Another Round is a very entertaining film. It's energetic, attentively shot and exceedingly well acted - which is impressive because it's so easy to overdo playing drunk."
Another Round,"Even here, as a character with no discernible personality, Mikkelsen casts a sympathetic, believable shadow. His Martin is a nowhere man of great distinction, stuck in a nowheresville of a movie."
Another Round,A peak-form Mads Mikkelsen stars in this hilarious and heartbreaking spellbinder as a Copenhagen high-school teacher who thinks day drinking might sharpen his faculties. The Oscar for Best International Feature belongs right here.
Another Round,Thomas Vinterberg is incredibly astute when it comes to how humans behave in extraordinary circumstances.
Another Round,Audaciously provocative and wickedly funny...
Another Round,"More than anything, Vinterberg's film is a coming-of-age fable in reverse, defined in equal measures by merriment and melancholy. And when these potent elements are mixed correctly, the effect is intoxicating."
Another Round,"I found it unsatisfying on a great many levels, despite the excellent performances of the four actors who play the teachers."
Another Round,"There's a louche '70s swagger to the film, as it follows this tightening band of brothers' increasingly erratic behaviour non-judgementally. The tragicomic tracing of male fragility is fascinating."
Another Round,"Smart and unflinching, Another Round is classic Vinterberg, and reminds us why Mikkelson has become such a hot property not just in Denmark, but internationally."
Another Round,"There is some quiet comedy about all this, but the film never breaks into the open plains of mirth. That's because it has a deep and rich lode of melancholy to mine."
Another Round,"The film features its share of trauma and tragedy, and the final sequence is bittersweet, but it's also one of the most purely entertaining, magnificent moments on film in 2020."
Another Round,"Another Roundis a breath of fresh air for anyone who has been starving for intelligent entertainment. It's invigorating and completely credible, thanks to Vinterberg's approach and the performances of his leading actors"
Another Round,"Another Round is a truly wonderful movie about trying to come to grips with life, anchored by terrific performances, infectious music, and a real understanding of the humming discontentment that all adults must learn to navigate in their own ways."
Another Round,Mikkelsen is magnificent.
Another Round,One of the director's most absorbing works.
Another Round,"The problem is not the substance, it's the person, and with Another Round, Vinterberg has crafted a beautiful dissection of that conundrum."
Another Round,"The Danish writer-director puts the topic on the table in disarming fashion but, in the end, literally dances away from it to reaffirm the status quo without significantly illuminating the issue as seemingly promised at the outset."
Another Round,An intoxicated tale of midlife angst and catharsis and better living through Aquavit.
Another Round,Mikkelsen elevates what could have been another traditional message movie about living life to the fullest even after you think you've had your final drink.
Another Round,"A stinging, gorgeously filmed tragicomedy about male insecurity and the power of positive drinking, it's the latest from the Danish provocateur Thomas Vinterberg..."
Another Round,[Vintergerg] made the rare movie about getting shitfaced that's somehow neither a wallow in the gutter nor a fantasy of life without hangovers.
Another Round,"The filmmaking, for all its tipsiness, retains a striking lucidity..."
Another Round,"Drink, drinking or binge-drinking -- there's some of that too -- can't begin to convey the wild beauty and emotional depth of this film."
Another Round,"""Another Round"" is carefully and delicately wrought, the humor authentic and incidental, rippling with pathos and longing, carefully walking the line between drunken fun and the dark threat of alcoholism that looms."
Another Round,"Vinterberg's delicate, grounded direction and the actors' wonderfully loose performances insist upon authenticity, creating a tonal mishmash that's endearingly absurd."
Another Round,"Even if it springs few genuine revelations, this loping sine wave of a film still lands as an honest take on the high highs and low lows of a sodden Scandinavian lifestyle."
Another Round,"Pop some champagne, crack open the whisky and guzzle back that ice-cold beer. The feelgood film of this or any festival has arrived, and it's a boozy-woozy marvel."
Another Round,"Not many directors can pull off what Vinterberg does here, and with any other creator the conceit would probably devolve into an absurdly daft Adam Sandler comedy."
Another Round,"Another Round will prove to be a fruitful watch for those who are fans of the director's anxious social experiments; however, those who find his work to be a study in self-indulgent intellectualism should stay away."
Another Round,A very pleasurable and sinful experience that could easily be made into an American movie à la The Hangover.
Another Round,"Larsen, Ranthe, and Millang are all terrific - acting drunk in a convincing way is no small feat, especially as they go through varying degrees of intoxication - but the film is ultimately Mikkelsen's show."
Another Round,"Another Round is a film of more quiet desperation and a more thoughtful morality, and it goes down with a kick."
Another Round,"Thomas Vinterberg's latest, like The Hunt, is ultimately a parable about breaking a social contract."
Another Round,"The movie turns out to be a frustrating and rather muddled experience, a ""socially relevant"" trifle that keeps undercutting itself."
Another Round,"A slightly flippant tragicomedy of booze and midlife defiance, based on a pseudoscientific theory which put me in mind of Humphrey Bogart's bleary dictum about the rest of the world being three drinks behind."
Another Round,There's a fundamental thrill to watching Vinterberg and Mikkelsen find their groove again.
Another Round,"It's not just Mikkelsen in the lead, but three supporting actors including Festen's Thomas Bo Larsen who give the film its can't-look-away dynamic."
Another Round,"It makes for an appealing ensemble piece overall, as well as a great vehicle for Mikkelsen's vulpine beauty and nimble dance moves."
Spiral Farm,"Not much happens in ""Spiral Farm,"" but what does is often heartbreaking."
Evergreen,"A sweet, simple journey, taking the scenic route through a young couple's brief-but-meaningful romance."
Little Joe,The first English-language film by Austrian filmmaker Jessica Hausner Little Joe is as slick and as intelligent as anything she has made previously.
Little Joe,"This agonisingly slow pseudo sci-fi has camera moves, performances and lines of dialogue that. Seem. To. Take. An. Eternity. To. Deliver. Without. Much. Impact. Or. Dramatic. Pay Off."
Little Joe,It's a little film. But it's epic.
Little Joe,"For some, Little Joe may seem too sterile to engage emotionally, but I found it glassily unsettling - even more so on second viewing. Inhale at your peril."
Little Joe,Hausner and co-writer Géraldine Bajard present a nightmare in pastel colours in this breathtaking modern sci-fi.
Little Joe,"By eschewing fast-paced suspense Hausner takes the sting out of her story, instead showcasing a bold aesthetic sense that feels like an exciting taste of what's to come."
Little Joe,"A unique, stimulating examination of our quick-fix, happiness-hungry culture."
